"url","Name","ID"
"http://purl.obolibrary.org/obo/OAE_0000017","X-ray result abnormal AE","10048065"
"http://purl.obolibrary.org/obo/OAE_0000018","chest X-ray abnormal AE","10008499"
"http://purl.obolibrary.org/obo/OAE_0000019","contusion AE","10050584"
"http://purl.obolibrary.org/obo/OAE_0000020","dry throat AE","10013789"
"http://purl.obolibrary.org/obo/OAE_0000021","flushing AE","10016825"
"http://purl.obolibrary.org/obo/OAE_0000022","pain in extremity AE","10033425"
"http://purl.obolibrary.org/obo/OAE_0000023","postnasal drip AE","10036402"
"http://purl.obolibrary.org/obo/OAE_0000024","cardiorenal syndrome AE@en","10068230"
"http://purl.obolibrary.org/obo/OAE_0000027","musculoskeletal or connective tissue AE","10028395"
"http://purl.obolibrary.org/obo/OAE_0000034","fatigue AE","10016256"
"http://purl.obolibrary.org/obo/OAE_0000034","fatigue AE","10024264"
"http://purl.obolibrary.org/obo/OAE_0000037","eosinophil percentage increased AE","10052222"
"http://purl.obolibrary.org/obo/OAE_0000038","myocardial infarction AE","10028596"
"http://purl.obolibrary.org/obo/OAE_0000039","neutrophil count increased AE","10029368"
"http://purl.obolibrary.org/obo/OAE_0000041","injury AE","10022116"
"http://purl.obolibrary.org/obo/OAE_0000042","head injury AE","10019196"
"http://purl.obolibrary.org/obo/OAE_0000045","injection-site allergic reaction AE","10022095"
"http://purl.obolibrary.org/obo/OAE_0000046","myelitis transverse AE","10028527"
"http://purl.obolibrary.org/obo/OAE_0000048","nystagmus AE","10029864"
"http://purl.obolibrary.org/obo/OAE_0000049","dermatitis bullous AE","10012441"
"http://purl.obolibrary.org/obo/OAE_0000050","hot flushes AE","10020407"
"http://purl.obolibrary.org/obo/OAE_0000052","tumor AE","10026865"
"http://purl.obolibrary.org/obo/OAE_0000053","wheezing AE","10047924"
"http://purl.obolibrary.org/obo/OAE_0000067","surgery","10042609"
"http://purl.obolibrary.org/obo/OAE_0000069","metabolism, endocrine or exocrine system AE@en","10027433"
"http://purl.obolibrary.org/obo/OAE_0000082","female reproductive system AE","10038604"
"http://purl.obolibrary.org/obo/OAE_0000084","cardiac disorder AE","10007541"
"http://purl.obolibrary.org/obo/OAE_0000084","cardiac disorder AE","10061024"
"http://purl.obolibrary.org/obo/OAE_0000085","vascular disorder AE","10047065"
"http://purl.obolibrary.org/obo/OAE_0000086","dermatitis AE","10012431"
"http://purl.obolibrary.org/obo/OAE_0000100","influenza like illness AE","10016791"
"http://purl.obolibrary.org/obo/OAE_0000103","fungal infection AE","10017533"
"http://purl.obolibrary.org/obo/OAE_0000166","tremor AE","10044565"
"http://purl.obolibrary.org/obo/OAE_0000167","autonomic neuropathy AE","10061666"
"http://purl.obolibrary.org/obo/OAE_0000169","polyneuropathy AE","10036105"
"http://purl.obolibrary.org/obo/OAE_0000170","mononeuropathy AE","10062203"
"http://purl.obolibrary.org/obo/OAE_0000173","mononeuritis AE","10027910"
"http://purl.obolibrary.org/obo/OAE_0000179","causal adverse drug event due to drug-drug interaction","10013710"
"http://purl.obolibrary.org/obo/OAE_0000183","circulatory shock AE","10040560"
"http://purl.obolibrary.org/obo/OAE_0000184","dementia AE","10012272"
"http://purl.obolibrary.org/obo/OAE_0000185","thrombosis AE","10043607"
"http://purl.obolibrary.org/obo/OAE_0000187","cell death AE@en","10057248"
"http://purl.obolibrary.org/obo/OAE_0000188","respiratory tract neoplasm AE@en","10029107"
"http://purl.obolibrary.org/obo/OAE_0000194","phlebitis AE","10034879"
"http://purl.obolibrary.org/obo/OAE_0000195","pancreatitis AE","10033645"
"http://purl.obolibrary.org/obo/OAE_0000195","pancreatitis AE","10033646"
"http://purl.obolibrary.org/obo/OAE_0000196","apoptosis AE","10059512"
"http://purl.obolibrary.org/obo/OAE_0000198","ischemia AE","10061255"
"http://purl.obolibrary.org/obo/OAE_0000202","endocrine system AE","10014698"
"http://purl.obolibrary.org/obo/OAE_0000204","congenital AE","10010331"
"http://purl.obolibrary.org/obo/OAE_0000205","paresis AE","10033800"
"http://purl.obolibrary.org/obo/OAE_0000206","cystic fibrosis AE","10011762"
"http://purl.obolibrary.org/obo/OAE_0000212","fistula AE","10067143"
"http://purl.obolibrary.org/obo/OAE_0000213","extravasation AE","10015866"
"http://purl.obolibrary.org/obo/OAE_0000215","inconsolable crying AE@en","10065283"
"http://purl.obolibrary.org/obo/OAE_0000218","bradycardia AE@en","10006093"
"http://purl.obolibrary.org/obo/OAE_0000219","prenatal, perinatal or neonatal disorder AE","10036585"
"http://purl.obolibrary.org/obo/OAE_0000226","medical intervention site AE@en","10003055"
"http://purl.obolibrary.org/obo/OAE_0000229","administration of drug with wrong technique@en","10064353"
"http://purl.obolibrary.org/obo/OAE_0000230","administration of drug with incorrect route@en","10064304"
"http://purl.obolibrary.org/obo/OAE_0000233","errored medication@en","10027091"
"http://purl.obolibrary.org/obo/OAE_0000234","errored drug administration@en","10064355"
"http://purl.obolibrary.org/obo/OAE_0000237","peripheral arterial disease AE","10067825"
"http://purl.obolibrary.org/obo/OAE_0000238","psoriasis AE","10037153"
"http://purl.obolibrary.org/obo/OAE_0000241","abdominal abscess AE","10060921"
"http://purl.obolibrary.org/obo/OAE_0000242","abdominal discomfort AE","10000059"
"http://purl.obolibrary.org/obo/OAE_0000243","abdominal distension AE","10000060"
"http://purl.obolibrary.org/obo/OAE_0000244","abdominal sepsis AE","10058040"
"http://purl.obolibrary.org/obo/OAE_0000245","abdominal wall abscess AE","10000099"
"http://purl.obolibrary.org/obo/OAE_0000246","obsolete: behavior AE","10061422"
"http://purl.obolibrary.org/obo/OAE_0000247","abnormal dreams AE","10000125"
"http://purl.obolibrary.org/obo/OAE_0000248","abortion induced AE","10000220"
"http://purl.obolibrary.org/obo/OAE_0000249","abortion spontaneous AE","10000234"
